,Code,1996-2002,2003-2006,2007-2010,2011-2017,total
0,AFG,8728,1098.0,747.0,1395.0,11968.0
1,ALB,10,4.0,2.0,3.0,19.0
2,DZA,1059,2378.0,223.0,97.0,3757.0
3,ASM,0,6.0,34.0,1.0,41.0
4,AND,0,0.0,0.0,0.0,0.0
5,AGO,124,43.0,199.0,326.0,692.0
6,ATG,4,0.0,0.0,0.0,4.0
7,ARG,126,56.0,54.0,92.0,328.0
8,ARM,4,2.0,4.0,4.0,14.0
9,AUS,90,14.0,21.0,65.0,190.0
10,AUT,88,70.0,65.0,69.0,292.0
11,AZE,57,2.0,3.0,0.0,62.0
12,BHS,3,13.0,4.0,34.0,54.0
13,BHR,0,0.0,0.0,0.0,0.0
14,BGD,3430,1679.0,5703.0,770.0,11582.0
15,BRB,0,2.0,0.0,0.0,2.0
16,BLR,11,3.0,17.0,12.0,43.0
17,BEL,7,1.0,6.0,7.0,21.0
18,BLZ,53,3.0,8.0,0.0,64.0
19,BEN,14,0.0,81.0,4.0,99.0
20,BMU,2,4.0,0.0,0.0,6.0
21,BTN,200,0.0,23.0,1.0,224.0
22,BOL,389,168.0,141.0,320.0,1018.0
23,BIH,6,4.0,3.0,28.0,41.0
24,BWA,3,0.0,0.0,12.0,15.0
25,BRA,670,611.0,1368.0,4173.0,6822.0
26,BRN,0,0.0,0.0,3.0,3.0
27,BGR,25,11.0,17.0,15.0,68.0
28,BFA,6,0.0,83.0,43.0,132.0
29,BDI,0,25.0,23.0,171.0,219.0
30,KHM,523,21.0,29.0,506.0,1079.0
31,CMR,57,22.0,30.0,29.0,138.0
32,CAN,142,43.0,64.0,31.0,280.0
33,CPV,0,0.0,3.0,9.0,12.0
34,CAF,10,4.0,8.0,2.0,24.0
35,TCD,100,52.0,59.0,20.0,231.0
36,CHL,83,81.0,536.0,242.0,942.0
37,CHN,15911,3579.0,97747.0,6245.0,123482.0
38,COL,1499,613.0,952.0,1286.0,4350.0
39,COM,0,1.0,2.0,4.0,7.0
40,COG,2,7.0,0.0,19.0,28.0
41,CRI,108,19.0,100.0,21.0,248.0
42,CIV,28,0.0,51.0,82.0,161.0
43,HRV,1,2.0,3.0,3.0,9.0
44,CUB,28,30.0,21.0,22.0,101.0
45,CYP,0,3.0,0.0,0.0,3.0
46,CZE,33,12.0,32.0,2.0,79.0
47,COD,304,47.0,114.0,250.0,715.0
48,DNK,8,2.0,0.0,2.0,12.0
49,DJI,0,51.0,0.0,0.0,51.0
50,DMA,0,3.0,7.0,6.0,16.0
51,DOM,417,727.0,39.0,40.0,1223.0
52,ECU,404,123.0,162.0,860.0,1549.0
53,EGY,62,26.0,166.0,86.0,340.0
54,SLV,1685,113.0,181.0,77.0,2056.0
55,GNQ,0,0.0,0.0,0.0,0.0
56,ERI,0,0.0,0.0,0.0,0.0
57,EST,2,1.0,1.0,1.0,5.0
